File,Task,Category
g0pA_taska.txt,a,non
g0pA_taskb.txt,b,cut
g0pA_taskc.txt,c,light
g0pA_taskd.txt,d,heavy
g0pA_taske.txt,e,non
g0pB_taska.txt,a,non
g0pB_taskb.txt,b,non
g0pB_taskc.txt,c,cut
g0pB_taskd.txt,d,light
g0pB_taske.txt,e,heavy
g0pC_taska.txt,a,heavy
g0pC_taskb.txt,b,non
g0pC_taskc.txt,c,non
g0pC_taskd.txt,d,cut
g0pC_taske.txt,e,light
g0pD_taska.txt,a,cut
g0pD_taskb.txt,b,light
g0pD_taskc.txt,c,heavy
g0pD_taskd.txt,d,non
g0pD_taske.txt,e,non
g0pE_taska.txt,a,light
g0pE_taskb.txt,b,heavy
g0pE_taskc.txt,c,non
g0pE_taskd.txt,d,non
g0pE_taske.txt,e,cut
g1pA_taska.txt,a,non
g1pA_taskb.txt,b,heavy
g1pA_taskc.txt,c,light
g1pA_taskd.txt,d,cut
g1pA_taske.txt,e,non
g1pB_taska.txt,a,non
g1pB_taskb.txt,b,non
g1pB_taskc.txt,c,heavy
g1pB_taskd.txt,d,light
g1pB_taske.txt,e,cut
g1pD_taska.txt,a,light
g1pD_taskb.txt,b,cut
g1pD_taskc.txt,c,non
g1pD_taskd.txt,d,non
g1pD_taske.txt,e,heavy
g2pA_taska.txt,a,non
g2pA_taskb.txt,b,heavy
g2pA_taskc.txt,c,light
g2pA_taskd.txt,d,cut
g2pA_taske.txt,e,non
g2pB_taska.txt,a,non
g2pB_taskb.txt,b,non
g2pB_taskc.txt,c,heavy
g2pB_taskd.txt,d,light
g2pB_taske.txt,e,cut
g2pC_taska.txt,a,cut
g2pC_taskb.txt,b,non
g2pC_taskc.txt,c,non
g2pC_taskd.txt,d,heavy
g2pC_taske.txt,e,light
g2pE_taska.txt,a,heavy
g2pE_taskb.txt,b,light
g2pE_taskc.txt,c,cut
g2pE_taskd.txt,d,non
g2pE_taske.txt,e,non
g3pA_taska.txt,a,non
g3pA_taskb.txt,b,heavy
g3pA_taskc.txt,c,light
g3pA_taskd.txt,d,cut
g3pA_taske.txt,e,non
g3pB_taska.txt,a,non
g3pB_taskb.txt,b,non
g3pB_taskc.txt,c,heavy
g3pB_taskd.txt,d,light
g3pB_taske.txt,e,cut
g3pC_taska.txt,a,cut
g3pC_taskb.txt,b,non
g3pC_taskc.txt,c,non
g3pC_taskd.txt,d,heavy
g3pC_taske.txt,e,light
g4pB_taska.txt,a,non
g4pB_taskb.txt,b,non
g4pB_taskc.txt,c,heavy
g4pB_taskd.txt,d,light
g4pB_taske.txt,e,cut
g4pC_taska.txt,a,cut
g4pC_taskb.txt,b,non
g4pC_taskc.txt,c,non
g4pC_taskd.txt,d,heavy
g4pC_taske.txt,e,light
g4pD_taska.txt,a,light
g4pD_taskb.txt,b,cut
g4pD_taskc.txt,c,non
g4pD_taskd.txt,d,non
g4pD_taske.txt,e,heavy
g4pE_taska.txt,a,heavy
g4pE_taskb.txt,b,light
g4pE_taskc.txt,c,cut
g4pE_taskd.txt,d,non
g4pE_taske.txt,e,non
orig_taska.txt,a,orig
orig_taskb.txt,b,orig
orig_taskc.txt,c,orig
orig_taskd.txt,d,orig
orig_taske.txt,e,orig
